,title,year,age,run,owners_pts,modification,volume,engine_type,transmission,gear,body,color,exchange,mark,other_history,tech_history,sold,subway,pts_type,price,horse_power,price_log
901,LIFAN X60 1.8 MT,2014,I,102000,1,1.8 MT,1.8,0,Механика,Передний,Внедорожник,Чёрный,Возможен,ниже,1,1,2,Козья Слобода:21–30 мин.;Яшьлек:21–30 мин.;Северный вокзал:от 31 мин.,Другое,540000,128,13.199326270390594
902,Renault Sandero 1.6 MT,2011,I,78000,2,1.6 MT,1.6,0,Механика,Передний,Хэтчбек,Серый,Не интересует,нет оценки,2,5,2,Измайлово:до 5 мин.;Партизанская:6–10 мин.;Черкизовская:16–20 мин.,Оригинал,315000,84,12.660331092405904
903,BMW 7 серия 4.4 AT,2010,F01/F02,301000,3,750Li 4.4 AT,4.4,0,Автомат,Задний,Седан,Чёрный,Возможен,ниже,2,1,2,Окская:6–10 мин.;Рязанский проспект:16–20 мин.;Стахановская:21–30 мин.,Оригинал,890000,407,13.698977865303197
904,Jeep Cherokee 3.7 AT,2007,III рестайлинг,242000,3,3.7 4WD AT,3.7,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,выше,3,1,2,Водный стадион:до 5 мин.;Речной вокзал:21–30 мин.;Балтийская:21–30 мин.,Дубликат,950000,210,13.76421831620775
905,Ford Fusion 1.6 AT,2007,I рестайлинг,186253,3,1.6 AT,1.6,0,Автомат,Передний,Хэтчбек,Серый,Не интересует,соответствует,3,5,1,Солнцево:6–10 мин.;Боровское шоссе:16–20 мин.;Говорово:21–30 мин.,Дубликат,528000,101,13.176853456625999
906,Mazda 3 1.6 AT,2006,BK рестайлинг,145000,4+,1.6 AT,1.6,0,Автомат,Передний,Седан,Синий,Не интересует,соответствует,6,1,2,Царицыно:от 31 мин.,Дубликат,510000,105,13.1421679654829
907,Mitsubishi Pajero Sport 3.0 AT,2004,I рестайлинг,240000,2,3.0 AT,3.0,0,Автомат,Полный,Внедорожник,Серебряный,Не интересует,соответствует,2,5,2,Крылатское:до 5 мин.;Молодёжная:21–30 мин.;Терехово:от 31 мин.,Оригинал,800000,170,13.592368256649282
908,Peugeot 206 1.4 MT,1999,I,280000,4+,1.4 MT,1.4,0,Механика,Передний,Хэтчбек,Синий,Не интересует,выше,13,5,6,Алтуфьево:до 5 мин.;Бибирево:21–30 мин.;Медведково:от 31 мин.,Оригинал,160000,75,11.982935344196433
909,Jaguar XF 2.0 AT,2017,II,153100,4+,2.0 AT,2.0,0,Автомат,Задний,Седан,Чёрный,Не интересует,нет оценки,5,46,8,Митино:6–10 мин.;Волоколамская:16–20 мин.;Пятницкое шоссе:16–20 мин.,Оригинал,1990000,200,14.503645699213111
910,BMW X1 2.0 AT,2011,E84,216000,4+,18i 2.0 sDrive AT,2.0,0,Автомат,Задний,Внедорожник,Коричневый,Не интересует,выше,8,5,8,Фили:11–15 мин.;Парк Победы:11–15 мин.;Багратионовская:11–15 мин.,Оригинал,990000,150,13.805461232211274
911,ГАЗ ГАЗель 3302 2.9 MT,2017,II,137220,2,2.9 MT,2.9,0,Механика,Задний,Van,Белый,другое,выше,2,5,1,Марьино:до 5 мин.;Братиславская:11–15 мин.;Борисово:21–30 мин.,Оригинал,1650000,107,14.316286451937186
912,Chevrolet Cruze 1.6 MT,2015,I рестайлинг,230000,4+,1.6 MT,1.6,0,Механика,Передний,Седан,Другой,Не интересует,ниже,4,5,2,Строгино:16–20 мин.;Мякинино:от 31 мин.;Спартак:от 31 мин.,Оригинал,500000,109,13.122365377402328
913,Skoda Octavia 1.8 MT,2017,III рестайлинг,60000,3,1.8 TSI MT,1.8,0,Механика,Передний,Хэтчбек,Серебряный,Возможен,ниже,3,6,5,,Другое,1279000,180,14.061589862421503
914,Opel Astra OPC 2.0 MT,2013,J,154460,4+,2.0 MT,2.0,0,Механика,Передний,Хэтчбек,Синий,Не интересует,ниже,9,5,7,Бабушкинская:от 31 мин.;Медведково:от 31 мин.;Свиблово:от 31 мин.,Дубликат,950000,280,13.76421831620775
915,BMW 3 серия 2.0 AT,2007,E90/E91/E92/E93,302000,4+,320i 2.0 AT,2.0,0,Автомат,Задний,Седан,Чёрный,другое,соответствует,4,5,1,Бабушкинская:от 31 мин.;Медведково:от 31 мин.,Оригинал,750000,150,13.527829818844939
916,Ford Focus 2.0 MT,2005,II,227000,4+,2.0 MT,2.0,0,Механика,Передний,Седан,Синий,другое,выше,4,5,6,Царицыно:от 31 мин.;Домодедовская:от 31 мин.,Дубликат,465000,145,13.049794835104814
917,BMW 3 серия 2.2 AT,2001,E46 рестайлинг,220000,2,320i 2.2 AT,2.2,0,Автомат,Задний,Седан,Серый,Не интересует,выше,2,5,1,Алтуфьево:до 5 мин.;Бибирево:21–30 мин.;Лианозово:от 31 мин.,Оригинал,750000,170,13.527829818844939
918,Kia Optima 2.0 AT,2019,IV рестайлинг,62000,1,2.0 T-GDI AT,2.0,0,Автомат,Передний,Седан,Белый,другое,соответствует,1,5,1,,Электронный,2290000,245,14.644062812211551
919,Mazda 6 2.0 AT,2008,GH,149000,1,2.0 AT,2.0,0,Автомат,Передний,Седан,Красный,Возможен,ниже,1,5,2,Калужская:11–15 мин.;Воронцовская:16–20 мин.;Новаторская:16–20 мин.,Другое,649000,147,13.38318953651709
920,Hyundai Solaris 1.4 MT,2017,II,225000,2,1.4 MT,1.4,0,Механика,Передний,Седан,Белый,Не интересует,нет оценки,2,1,1,Преображенская площадь:11–15 мин.;Черкизовская:16–20 мин.;Бульвар Рокоссовского:16–20 мин.,Оригинал,775000,100,13.560619598657233
921,Hyundai Creta 1.6 MT,2017,I,186000,1,1.6 MT,1.6,0,Механика,Передний,Внедорожник,Чёрный,Не интересует,соответствует,1,39,2,Тёплый стан:до 5 мин.;Коньково:21–30 мин.;Ясенево:21–30 мин.,Оригинал,1340000,123,14.108180918195472
922,Nissan Pathfinder 2.5 AT,2007,III,184749,1,2.5 Cdi 4WD AT,2.5,1,Автомат,Полный,Внедорожник,Серебряный,Возможен,ниже,1,13,2,Владыкино:6–10 мин.;Окружная:11–15 мин.;Верхние Лихоборы:21–30 мин.,Оригинал,879000,174,13.686541314323094
923,ВАЗ (LADA) Priora 1.6 MT,2009,I,237028,4+,1.6 MT,1.6,0,Механика,Передний,Седан,Чёрный,Не интересует,соответствует,11,5,5,Борисово:от 31 мин.;Орехово:от 31 мин.;Марьино:от 31 мин.,Дубликат,240000,98,12.388398368982115
924,Volvo XC90 2.5 AT,2005,I,236071,4+,2.5 4WD AT,2.5,0,Автомат,Полный,Внедорожник,Серебряный,Возможен,соответствует,5,5,1,Бульвар адмирала Ушакова:6–10 мин.;Улица Скобелевская:11–15 мин.;Улица Горчакова:11–15 мин.,Другое,685000,210,13.43717557709731
925,Hyundai Solaris 1.6 AT,2021,II рестайлинг,149753,1,1.6 AT,1.6,0,Автомат,Передний,Седан,Другой,другое,ниже,2,1,3,Лианозово:16–20 мин.;Яхромская:21–30 мин.;Селигерская:от 31 мин.,Оригинал,1020000,123,13.83531416565213
926,Hyundai Santa Fe 2.7 AT,2010,I,149800,3,2.7 4WD AT,2.7,0,Автомат,Полный,Внедорожник,Серебряный,Не интересует,выше,2,5,2,Автозаводская:6–10 мин.;Дубровка:11–15 мин.;Кожуховская:21–30 мин.,Оригинал,1050000,173,13.864301674514206
927,Audi A8 3.0 AT,2011,D4,267754,4+,3.0 TFSI quattro Tiptronic,3.0,0,Автомат,Полный,Седан,Серый,Не интересует,соответствует,8,4,6,Выставочная:до 5 мин.;Деловой центр:до 5 мин.;Международная:6–10 мин.,Дубликат,1460000,290,14.19394767861579
928,Hyundai Solaris 1.6 AT,2011,I,87000,2,1.6 AT,1.6,0,Автомат,Передний,Седан,Серебряный,Не интересует,выше,2,4,2,Зябликово:11–15 мин.;Красногвардейская:16–20 мин.;Шипиловская:21–30 мин.,Оригинал,950000,123,13.76421831620775
929,Mazda 6 2.0 AT,2011,GH рестайлинг,183000,1,2.0 AT,2.0,0,Автомат,Передний,Седан,Белый,Не интересует,соответствует,1,1,2,Солнцево:до 5 мин.;Боровское шоссе:21–30 мин.;Говорово:21–30 мин.,Оригинал,1185000,147,13.98525417643287
930,Honda Civic 1.8 AT,2008,VIII,400000,4+,1.8 AT,1.8,0,Автомат,Передний,Седан,Серебряный,Не интересует,выше,8,1,1,Выхино:11–15 мин.;Рязанский проспект:от 31 мин.;Юго-Восточная:от 31 мин.,Дубликат,640000,140,13.369225017834633
931,BMW X5 3.0 AT,2019,G05,99800,1,30d 3.0 xDrive Steptronic,3.0,1,Автомат,Полный,Внедорожник,Серый,Не интересует,нет оценки,2,5,2,Бунинская аллея:11–15 мин.;Улица Горчакова:21–30 мин.;Бульвар адмирала Ушакова:от 31 мин.,Электронный,6600000,265,15.702580358511794
932,Mitsubishi Outlander 2.4 CVT,2007,II,177500,2,2.4 4WD CVT,2.4,0,Вариатор,Полный,Внедорожник,Синий,Не интересует,выше,2,28,1,Говорово:11–15 мин.;Солнцево:16–20 мин.;Боровское шоссе:21–30 мин.,Оригинал,1080000,170,13.8924725250259
933,Audi A6 2.4 CVT,2001,C5 рестайлинг,260000,4+,2.4 Multitronic,2.4,0,Вариатор,Передний,Седан,Серебряный,Не интересует,выше,4,5,4,Улица академика Янгеля:6–10 мин.;Аннино:11–15 мин.;Лесопарковая:21–30 мин.,Оригинал,525000,170,13.171155446333852
934,Hyundai Santa Fe 2.5 AT,2021,IV рестайлинг,44000,1,2.5 4WD AT,2.5,0,Автомат,Полный,Внедорожник,Чёрный,Не интересует,соответствует,1,7,2,Улица Горчакова:от 31 мин.;Бунинская аллея:от 31 мин.;Бульвар адмирала Ушакова:от 31 мин.,Электронный,3690000,180,15.121137287019383
935,Mazda 3 1.6 AT,2008,BK рестайлинг,213972,3,1.6 AT,1.6,0,Автомат,Передний,Седан,Чёрный,Не интересует,выше,2,17,5,Молодёжная:от 31 мин.;Кунцевская:от 31 мин.;Крылатское:от 31 мин.,Оригинал,690000,105,13.444448325847754
936,Ford Focus 1.6 MT,2005,II,210000,4+,1.6 MT,1.6,0,Механика,Передний,Хэтчбек,Серебряный,Не интересует,выше,4,5,2,Котельники:до 5 мин.;Жулебино:6–10 мин.;Лермонтовский проспект:от 31 мин.,Оригинал,469000,115,13.058360179622305
937,Mazda CX-9 2.5 AT,2021,II,60025,1,2.5 AT,2.5,0,Автомат,Передний,Внедорожник,Чёрный,Не интересует,нет оценки,2,5,1,Аннино:до 5 мин.;Лесопарковая:16–20 мин.;Улица академика Янгеля:16–20 мин.,Электронный,3490000,231,15.06541258071152
