,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
779,Opel Corsa 1.4 AT,2008,D,280000,9.0,3,1.4 AT,1.4,Бензин,Автомат,Передний,Хэтчбек,Серый,Левый,Не интересует,соответствует,1,2,5,2,Оригинал,370000,90
780,Renault Megane 1.5 MT,2010,III,245000,11.0,2,1.5 dCi MT,1.5,Дизель,Механика,Передний,Универсал,Чёрный,Левый,Не интересует,ниже,1,2,8,2,Оригинал,550000,110
781,Volkswagen Touareg 3.0 AT,2005,I,280000,10.0,4+,3.0 TDI AT,3.0,Дизель,Автомат,Полный,Внедорожник,Серый,Левый,Не интересует,соответствует,0,5,1,4,Оригинал,900000,224
782,Infiniti FX37 3.7 AT,2010,II,195000,10.0,3,3.7 4WD AT,3.7,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,3,5,2,Дубликат,1899999,333
783,Audi Q5 2.0 AT,2016,I рестайлинг,125431,19.0,2,2.0 TFSI quattro Tiptronic,2.0,Бензин,Автомат,Полный,Внедорожник,Коричневый,Левый,Возможен,соответствует,0,2,12,2,Другое,1995000,230
784,Mazda 3 1.6 MT,2010,BL,185000,9.0,1,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Белый,Левый,Не интересует,соответствует,1,1,4,2,Оригинал,750000,105
785,Volkswagen Polo 1.6 AT,2017,V рестайлинг,169000,2.0,3,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,Не интересует,соответствует,1,3,5,2,Другое,875000,110
786,Mazda CX-5 2.5 AT,2015,I рестайлинг,117231,12.0,2,2.5 4WD AT,2.5,Бензин,Автомат,Полный,Внедорожник,Коричневый,Левый,Возможен,ниже,0,2,6,1,Другое,1649000,192
787,Chevrolet Lacetti 1.6 MT,2004,I,296879,5.0,3,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Красный,Левый,Не интересует,выше,0,2,5,2,Оригинал,390000,109
788,Kia Rio 1.6 AT,2015,III рестайлинг,275000,9.0,3,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Серебряный,Левый,Не интересует,выше,0,2,4,2,Оригинал,800000,123
789,ГАЗ ГАЗель 3302 2.9 MT,2012,II,149504,11.0,4+,2.9 MT,2.9,Бензин,Механика,Задний,Van,Белый,Левый,Не интересует,соответствует,0,5,5,3,Оригинал,965000,107
